Название,Цена,Старая цена,Скидка,Бонусы за покупку,Процессор,Видеокарта,Оперативная память,Накопитель,Экран,Операционная система,Ссылка
Lenovo IdeaPad Gaming 3 (82K1005ARK),92999,Нет,Нет,2790,Intel Core i5-11300H 3.1 ГГц,NVIDIA GeForce RTX 3050 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-lenovo-ideapad-gaming-3-82k1005ark/
Lenovo IdeaPad Gaming 3 (82K201RWRK),84999,Нет,Нет,2550,AMD Ryzen 5 5600H 3.2 ГГц,NVIDIA GeForce RTX 3050 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-lenovo-ideapad-gaming-3-82k201rwrk/
MSI Katana GF66 11UE-655RU,135999,Нет,Нет,4080,Intel Core i5-11400H 2.7 ГГц,NVIDIA GeForce RTX 3060 6 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Windows 10 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-msi-katana-gf66-11ue-655ru/
Haier GG1502X,99999,Нет,Нет,3000,Intel Core i5-11400H 2.4 ГГц,NVIDIA GeForce RTX 3050 Ti 4 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Без ОС,https://www.eldorado.ru/cat/detail/noutbuk-haier-gg1502x/
HP Victus 16-e0145u (638F0EA),104999,114999,9,3150,AMD Ryzen 5 5600H 3.3 ГГц,NVIDIA RTX 3050 Ti 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 16.1""",Windows 11 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-victus-16-e0145u-638f0ea/
HP Victus 16-E0082UR (4E1L4EA),117999,Нет,Нет,3540,AMD Ryzen 7 5800H 3.2 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 16.1""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-victus-16-e0082ur-4e1l4ea/
Lenovo Legion 5 15ACH6H (82JU00P3RU),195499,Нет,Нет,5865,AMD Ryzen 7 5800H 3.2 ГГц,NVIDIA RTX 3060 6 ГБ,16 ГБ DDR4,1 ТБ SSD,"1920x1080 15.6""",Windows 11 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-lenovo-legion-5-15ach6h-82ju00p3ru/
Dell G15 G515-7081,127499,Нет,Нет,3825,Intel Core i5-10500H 2.3 ГГц,NVIDIA GeForce RTX 3050 Ti 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Linux,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-dell-g15-g515-7081/
HP Pavilion 15 15-EH1017UR (3E3V0EA),80999,Нет,Нет,2430,AMD Ryzen 5 5500U 2.1 ГГц,AMD Radeon Graphics ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-pavilion-15-15-eh1017ur-3e3v0ea/
Dell G15 G515-0228,122999,Нет,Нет,3690,Intel Core i5-11400H 2.7 ГГц,NVIDIA GeForce RTX 3050 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Linux,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-dell-g15-g515-0228/
HP Victus 16-E0082UR (4E1L4EA),117999,Нет,Нет,3540,AMD Ryzen 7 5800H 3.2 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 16.1""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-victus-16-e0082ur-4e1l4ea/
Dell G15 G515-7748,92590,Нет,Нет,2778,Intel Core i5-10300H 2.5 ГГц,NVIDIA GeForce GTX1660Ti 6GB 6 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Windows 10,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-dell-g515-7748/
HP Omen 16-C0045UR (4E1R9EA),263999,Нет,Нет,7920,AMD Ryzen 7 5800H 3.2 ГГц,NVIDIA GeForce RTX 3070 для ноутбуков 8 ГБ,16 ГБ DDR4,1 ТБ SSD,"1920x1080 16.1""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-omen-16-c0045ur-4e1r9ea/
Lenovo Legion 5 15ACH6H (82JU00PXRU),199999,Нет,Нет,6000,AMD Ryzen 7 5800H 3.2 ГГц,NVIDIA RTX 3060 6 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Windows 11 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-lenovo-legion-5-15ach6h-82ju00pxru/
